epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.064,3.00608,4.27335,1.86164,0.73664,0.02765,0.02616,0.00625,2.78109,8.49463,2.13255,0.0677674,0.000325581,0.000325581
2,331.347,2.66371,3.30237,1.72398,0.76034,0.06477,0.06318,0.01835,2.44704,4.23387,1.90658,0.034724,0.000615426,0.000615426
3,552.139,2.63814,3.21757,1.67513,0.36547,0.09035,0.06112,0.02678,2.57773,8.87948,1.89333,0.00163647,0.000861271,0.000861271
4,712.859,2.54851,3.0444,1.66192,0.78455,0.07737,0.11476,0.04405,2.45026,3.82347,1.87899,0.000802,0.000802,0.000802
5,864.116,2.41395,2.83706,1.5717,0.39047,0.20211,0.1141,0.0405,2.67196,5.07755,1.96237,0.000736,0.000736,0.000736
6,1023.01,2.40381,2.72423,1.72384,0.84808,0.1256,0.15809,0.05621,2.42414,2.78977,1.7192,0.00067,0.00067,0.00067
7,1164.46,2.32972,2.55003,1.69992,0.67939,0.18333,0.20336,0.10257,2.35983,2.90069,1.67731,0.000604,0.000604,0.000604
8,1296.66,2.22037,2.32273,1.60344,0.75984,0.26245,0.24702,0.10536,2.24637,2.54913,1.64745,0.000538,0.000538,0.000538
9,1429.31,2.19268,2.19783,1.5915,0.92032,0.13458,0.26418,0.13294,2.16245,2.25349,1.60939,0.000472,0.000472,0.000472
10,1561.74,2.08847,2.09967,1.52201,0.66371,0.23803,0.2819,0.15695,2.09387,2.2117,1.4995,0.000406,0.000406,0.000406
11,1691.6,2.07231,1.9913,1.50345,0.64534,0.37362,0.28626,0.1571,1.99358,2.08195,1.46156,0.00034,0.00034,0.00034
12,14789.7,1.98232,1.94548,1.48271,0.66851,0.32025,0.37549,0.21465,2.06148,1.9397,1.50032,0.000274,0.000274,0.000274
13,14944.7,1.96003,1.81991,1.46007,0.64081,0.3523,0.41892,0.22562,1.98394,1.80881,1.46375,0.000208,0.000208,0.000208
14,15099.1,1.88169,1.65252,1.43406,0.88804,0.31824,0.4167,0.21698,1.92306,1.80505,1.42094,0.000142,0.000142,0.000142
15,15272.7,1.86596,1.67342,1.40092,0.84378,0.33512,0.45772,0.23573,1.91973,1.70194,1.40129,7.6e-05,7.6e-05,7.6e-05
